pairwise uncorrected distance between sequences
specimen1	specimen10	specimen11	specimen12	specimen13	specimen14	specimen15	specimen16	specimen17	specimen18	specimen19	specimen2	specimen20	specimen21	specimen22	specimen23	specimen24	specimen25	specimen26	specimen27	specimen28	specimen29	specimen3	specimen30	specimen31	specimen32	specimen33	specimen34	specimen35	specimen36	specimen37	specimen38	specimen39	specimen4	specimen40	specimen41	specimen42	specimen43	specimen44	specimen45	specimen46	specimen47	specimen48	specimen49	specimen5	specimen50	specimen6	specimen7	specimen8	specimen9
specimen19	0.2505	0.04598	0.01133	0.004854	0.01314	0.04598	0.04598	0.04598	0.04598	0.01149		0.2523	0.01294	0.01133	0.008091	0.008091	0.003236	0.01294	0.01133	0.04531	0.01133	0.2371	0.2411	0.2371	0.2575	0.2251	0.259	0.2692	0.2434	0.2243	0.2378	0.2277	0.2505	0.2505	0.2523	0.2411	0.2505	0.2698	0.2777	0.2495	0.2368	0.02463	0.04598	0.01133	0.2698	0.004854	0.2777	0.2495	0.2368	0.02463
specimen2	0.2243	0.2579	0.2467	0.2523	0.2486	0.2579	0.2579	0.2561	0.2579	0.2486	0.2523		0.2505	0.2505	0.2486	0.2505	0.2505	0.2467	0.2486	0.2561	0.2505	0.2792	0.2299	0.2792	0.2436	0.2439	0.225	0.2449	0.2637	0.2486	0.2472	0.2236	0.2243	0.243	0	0.2299	0.243	0.2475	0.2427	0.2677	0.2915	0.2486	0.2579	0.2467	0.2475	0.2523	0.2427	0.2677	0.2915	0.2486
specimen20	0.2579	0.04926	0.01456	0.01133	0.01314	0.04926	0.04926	0.04926	0.04926	0.01478	0.01294	0.2505		0.001618	0.01133	0.01133	0.01294	0.01618	0.01456	0.04854	0.01456	0.2435	0.2505	0.2435	0.2529	0.2308	0.2571	0.271	0.2475	0.2243	0.2341	0.234	0.2579	0.2579	0.2505	0.2505	0.2579	0.2698	0.2816	0.2515	0.2368	0.02791	0.04926	0.01456	0.2698	0.01133	0.2816	0.2515	0.2368	0.02791
specimen21	0.2561	0.04762	0.01294	0.009709	0.01149	0.04762	0.04762	0.04762	0.04762	0.01314	0.01133	0.2505	0.001618		0.009709	0.009709	0.01133	0.01456	0.01294	0.04693	0.01294	0.2435	0.2486	0.2435	0.2529	0.2289	0.259	0.2729	0.2495	0.2262	0.236	0.2319	0.2561	0.2561	0.2505	0.2486	0.2561	0.2698	0.2796	0.2515	0.2368	0.02627	0.04762	0.01294	0.2698	0.009709	0.2796	0.2515	0.2368	0.02627
specimen22	0.2486	0.04433	0.003236	0.006472	0.01149	0.04433	0.04433	0.04433	0.04433	0.003284	0.008091	0.2486	0.01133	0.009709		0.006472	0.008091	0.004854	0.003236	0.04693	0.003236	0.2414	0.243	0.2414	0.2552	0.2233	0.2533	0.271	0.2454	0.2224	0.2378	0.2319	0.2486	0.2561	0.2486	0.243	0.2561	0.2698	0.2757	0.2495	0.2368	0.02299	0.04433	0.003236	0.2698	0.006472	0.2757	0.2495	0.2368	0.02299
specimen23	0.2486	0.04762	0.009709	0.006472	0.01149	0.04762	0.04762	0.04762	0.04762	0.009852	0.008091	0.2505	0.01133	0.009709	0.006472		0.008091	0.01133	0.009709	0.04693	0.009709	0.2392	0.2467	0.2392	0.2552	0.2233	0.2533	0.2692	0.2454	0.2224	0.2378	0.234	0.2486	0.2523	0.2505	0.2467	0.2523	0.2677	0.2757	0.2454	0.2348	0.02299	0.04762	0.009709	0.2677	0.006472	0.2757	0.2454	0.2348	0.02299
specimen24	0.2486	0.04598	0.01133	0.004854	0.01314	0.04598	0.04598	0.04598	0.04598	0.01149	0.003236	0.2505	0.01294	0.01133	0.008091	0.008091		0.01294	0.01133	0.04531	0.01133	0.2371	0.243	0.2371	0.2552	0.2233	0.2571	0.2692	0.2454	0.2243	0.236	0.2298	0.2486	0.2505	0.2505	0.243	0.2505	0.2698	0.2757	0.2454	0.2348	0.02463	0.04598	0.01133	0.2698	0.004854	0.2757	0.2454	0.2348	0.02463
specimen25	0.2449	0.04598	0.004854	0.01133	0.01642	0.04598	0.04598	0.04598	0.04598	0.001642	0.01294	0.2467	0.01618	0.01456	0.004854	0.01133	0.01294		0.001618	0.04854	0.008091	0.2435	0.2449	0.2435	0.2575	0.2233	0.2552	0.2729	0.2475	0.2224	0.2416	0.234	0.2449	0.2579	0.2467	0.2449	0.2579	0.2759	0.2757	0.2515	0.2389	0.02791	0.04598	0.004854	0.2759	0.01133	0.2757	0.2515	0.2389	0.02791
specimen26	0.2449	0.04433	0.003236	0.009709	0.01478	0.04433	0.04433	0.04433	0.04433	0	0.01133	0.2486	0.01456	0.01294	0.003236	0.009709	0.01133	0.001618		0.04693	0.006472	0.2414	0.243	0.2414	0.2552	0.2233	0.2571	0.2748	0.2454	0.2224	0.2397	0.236	0.2449	0.2561	0.2486	0.243	0.2561	0.2738	0.2738	0.2495	0.2368	0.02627	0.04433	0.003236	0.2738	0.009709	0.2738	0.2495	0.2368	0.02627
specimen27	0.2598	0.009852	0.04693	0.04369	0.05255	0.009852	0.009852	0.01314	0.009852	0.04762	0.04531	0.2561	0.04854	0.04693	0.04693	0.04693	0.04531	0.04854	0.04693		0.04693	0.2328	0.2449	0.2328	0.2622	0.2308	0.259	0.2822	0.2576	0.2411	0.236	0.2402	0.2598	0.271	0.2561	0.2449	0.271	0.2677	0.2796	0.2414	0.249	0.04762	0.009852	0.04693	0.2677	0.04369	0.2796	0.2414	0.249	0.04762
specimen28	0.2505	0.04433	0.006472	0.009709	0.01478	0.04433	0.04433	0.04433	0.04433	0.006568	0.01133	0.2505	0.01456	0.01294	0.003236	0.009709	0.01133	0.008091	0.006472	0.04693		0.2392	0.243	0.2392	0.2575	0.2214	0.2533	0.2729	0.2475	0.2243	0.2378	0.2298	0.2505	0.2542	0.2505	0.243	0.2542	0.2718	0.2777	0.2515	0.2368	0.02627	0.04433	0.006472	0.2718	0.009709	0.2777	0.2515	0.2368	0.02627
specimen29	0.2446	0.2328	0.2435	0.2392	0.2392	0.2328	0.2328	0.2328	0.2328	0.2414	0.2371	0.2792	0.2435	0.2435	0.2414	0.2392	0.2371	0.2435	0.2414	0.2328	0.2392		0.2446	0	0.2506	0.2283	0.2654	0.2771	0.2597	0.2511	0.2646	0.2597	0.2446	0.2554	0.2792	0.2446	0.2554	0.2576	0.2446	0.2424	0.2576	0.2392	0.2328	0.2435	0.2576	0.2392	0.2446	0.2424	0.2576	0.2392
specimen3	0.2075	0.2411	0.2449	0.2411	0.2467	0.2411	0.2411	0.2393	0.2411	0.243	0.2411	0.2299	0.2505	0.2486	0.243	0.2467	0.243	0.2449	0.243	0.2449	0.243	0.2446		0.2446	0.2274	0.2514	0.2042	0.2505	0.2434	0.2299	0.2247	0.2112	0.2075	0.2318	0.2299	0	0.2318	0.2231	0.2214	0.286	0.2692	0.2393	0.2411	0.2449	0.2231	0.2411	0.2214	0.286	0.2692	0.2393
specimen30	0.2446	0.2328	0.2435	0.2392	0.2392	0.2328	0.2328	0.2328	0.2328	0.2414	0.2371	0.2792	0.2435	0.2435	0.2414	0.2392	0.2371	0.2435	0.2414	0.2328	0.2392	0	0.2446		0.2506	0.2283	0.2654	0.2771	0.2597	0.2511	0.2646	0.2597	0.2446	0.2554	0.2792	0.2446	0.2554	0.2576	0.2446	0.2424	0.2576	0.2392	0.2328	0.2435	0.2576	0.2392	0.2446	0.2424	0.2576	0.2392
specimen31	0.2297	0.2622	0.2529	0.2599	0.2552	0.2622	0.2622	0.2622	0.2622	0.2552	0.2575	0.2436	0.2529	0.2529	0.2552	0.2552	0.2552	0.2575	0.2552	0.2622	0.2575	0.2506	0.2274	0.2506		0.2494	0.2659	0.239	0.2413	0.2506	0.2465	0.2436	0.2297	0.1903	0.2436	0.2274	0.1903	0.232	0.2343	0.2575	0.2645	0.2715	0.2622	0.2529	0.232	0.2599	0.2343	0.2575	0.2645	0.2715
specimen32	0.2045	0.2308	0.2251	0.227	0.2289	0.2308	0.2308	0.2289	0.2308	0.2233	0.2251	0.2439	0.2308	0.2289	0.2233	0.2233	0.2233	0.2233	0.2233	0.2308	0.2214	0.2283	0.2514	0.2283	0.2494		0.2391	0.2664	0.2464	0.2101	0.2519	0.2037	0.2045	0.227	0.2439	0.2514	0.227	0.2322	0.2203	0.2485	0.2276	0.2364	0.2308	0.2251	0.2322	0.227	0.2203	0.2485	0.2276	0.2364
specimen33	0.2495	0.2552	0.2552	0.2552	0.2571	0.2552	0.2552	0.2533	0.2552	0.2571	0.259	0.225	0.2571	0.259	0.2533	0.2533	0.2571	0.2552	0.2571	0.259	0.2533	0.2654	0.2042	0.2654	0.2659	0.2391		0.2457	0.2567	0.2268	0.233	0.2264	0.2495	0.2476	0.225	0.2042	0.2476	0.2259	0.2475	0.2895	0.2664	0.2514	0.2552	0.2552	0.2259	0.2552	0.2475	0.2895	0.2664	0.2514
specimen34	0.2299	0.2804	0.2748	0.271	0.2692	0.2804	0.2804	0.2785	0.2804	0.2748	0.2692	0.2449	0.271	0.2729	0.271	0.2692	0.2692	0.2729	0.2748	0.2822	0.2729	0.2771	0.2505	0.2771	0.239	0.2664	0.2457		0.2049	0.2486	0.2528	0.2236	0.2299	0.228	0.2449	0.2505	0.228	0.2677	0.2466	0.2677	0.2854	0.2785	0.2804	0.2748	0.2677	0.271	0.2466	0.2677	0.2854	0.2785
specimen35	0.2414	0.2556	0.2454	0.2475	0.2495	0.2556	0.2556	0.2556	0.2556	0.2454	0.2434	0.2637	0.2475	0.2495	0.2454	0.2454	0.2454	0.2475	0.2454	0.2576	0.2475	0.2597	0.2434	0.2597	0.2413	0.2464	0.2567	0.2049		0.2475	0.2724	0.2257	0.2414	0.2252	0.2637	0.2434	0.2252	0.2596	0.2515	0.2617	0.2556	0.2556	0.2556	0.2454	0.2596	0.2475	0.2515	0.2617	0.2556	0.2556
specimen36	0.2243	0.2374	0.2243	0.2262	0.2243	0.2374	0.2374	0.2355	0.2374	0.2224	0.2243	0.2486	0.2243	0.2262	0.2224	0.2224	0.2243	0.2224	0.2224	0.2411	0.2243	0.2511	0.2299	0.2511	0.2506	0.2101	0.2268	0.2486	0.2475		0.2191	0.234	0.2243	0.2467	0.2486	0.2299	0.2467	0.2637	0.2369	0.2677	0.2389	0.2262	0.2374	0.2243	0.2637	0.2262	0.2369	0.2677	0.2389	0.2262
specimen37	0.2434	0.236	0.2397	0.2378	0.236	0.236	0.236	0.2341	0.236	0.2397	0.2378	0.2472	0.2341	0.236	0.2378	0.2378	0.236	0.2416	0.2397	0.236	0.2378	0.2646	0.2247	0.2646	0.2465	0.2519	0.233	0.2528	0.2724	0.2191		0.2407	0.2434	0.236	0.2472	0.2247	0.236	0.2398	0.251	0.2744	0.2718	0.2397	0.236	0.2397	0.2398	0.2378	0.251	0.2744	0.2718	0.2397
specimen38	0.2133	0.2402	0.234	0.2319	0.234	0.2402	0.2402	0.2402	0.2402	0.236	0.2277	0.2236	0.234	0.2319	0.2319	0.234	0.2298	0.234	0.236	0.2402	0.2298	0.2597	0.2112	0.2597	0.2436	0.2037	0.2264	0.2236	0.2257	0.234	0.2407		0.2133	0.2236	0.2236	0.2112	0.2236	0.2112	0.234	0.2961	0.2526	0.2381	0.2402	0.234	0.2112	0.2319	0.234	0.2961	0.2526	0.2381
specimen39	0	0.2617	0.2467	0.2523	0.2467	0.2617	0.2617	0.2598	0.2617	0.2449	0.2505	0.2243	0.2579	0.2561	0.2486	0.2486	0.2486	0.2449	0.2449	0.2598	0.2505	0.2446	0.2075	0.2446	0.2297	0.2045	0.2495	0.2299	0.2414	0.2243	0.2434	0.2133		0.2336	0.2243	0.2075	0.2336	0.2312	0.2155	0.2596	0.2571	0.2561	0.2617	0.2467	0.2312	0.2523	0.2155	0.2596	0.2571	0.2561
specimen4	0.2336	0.271	0.2579	0.2542	0.2561	0.271	0.271	0.2692	0.271	0.2561	0.2505	0.243	0.2579	0.2561	0.2561	0.2523	0.2505	0.2579	0.2561	0.271	0.2542	0.2554	0.2318	0.2554	0.1903	0.227	0.2476	0.228	0.2252	0.2467	0.236	0.2236	0.2336		0.243	0.2318	0	0.2414	0.2117	0.2698	0.2692	0.2617	0.271	0.2579	0.2414	0.2542	0.2117	0.2698	0.2692	0.2617
specimen40	0.2243	0.2579	0.2467	0.2523	0.2486	0.2579	0.2579	0.2561	0.2579	0.2486	0.2523	0	0.2505	0.2505	0.2486	0.2505	0.2505	0.2467	0.2486	0.2561	0.2505	0.2792	0.2299	0.2792	0.2436	0.2439	0.225	0.2449	0.2637	0.2486	0.2472	0.2236	0.2243	0.243		0.2299	0.243	0.2475	0.2427	0.2677	0.2915	0.2486	0.2579	0.2467	0.2475	0.2523	0.2427	0.2677	0.2915	0.2486
specimen41	0.2075	0.2411	0.2449	0.2411	0.2467	0.2411	0.2411	0.2393	0.2411	0.243	0.2411	0.2299	0.2505	0.2486	0.243	0.2467	0.243	0.2449	0.243	0.2449	0.243	0.2446	0	0.2446	0.2274	0.2514	0.2042	0.2505	0.2434	0.2299	0.2247	0.2112	0.2075	0.2318	0.2299		0.2318	0.2231	0.2214	0.286	0.2692	0.2393	0.2411	0.2449	0.2231	0.2411	0.2214	0.286	0.2692	0.2393
specimen42	0.2336	0.271	0.2579	0.2542	0.2561	0.271	0.271	0.2692	0.271	0.2561	0.2505	0.243	0.2579	0.2561	0.2561	0.2523	0.2505	0.2579	0.2561	0.271	0.2542	0.2554	0.2318	0.2554	0.1903	0.227	0.2476	0.228	0.2252	0.2467	0.236	0.2236	0.2336	0	0.243	0.2318		0.2414	0.2117	0.2698	0.2692	0.2617	0.271	0.2579	0.2414	0.2542	0.2117	0.2698	0.2692	0.2617
specimen43	0.2312	0.2637	0.2718	0.2677	0.2657	0.2637	0.2637	0.2637	0.2637	0.2738	0.2698	0.2475	0.2698	0.2698	0.2698	0.2677	0.2698	0.2759	0.2738	0.2677	0.2718	0.2576	0.2231	0.2576	0.232	0.2322	0.2259	0.2677	0.2596	0.2637	0.2398	0.2112	0.2312	0.2414	0.2475	0.2231	0.2414		0.2252	0.2901	0.2941	0.2718	0.2637	0.2718	0	0.2677	0.2252	0.2901	0.2941	0.2718
specimen44	0.2155	0.2796	0.2757	0.2796	0.2796	0.2796	0.2796	0.2796	0.2796	0.2738	0.2777	0.2427	0.2816	0.2796	0.2757	0.2757	0.2757	0.2757	0.2738	0.2796	0.2777	0.2446	0.2214	0.2446	0.2343	0.2203	0.2475	0.2466	0.2515	0.2369	0.251	0.234	0.2155	0.2117	0.2427	0.2214	0.2117	0.2252		0.2617	0.2794	0.2796	0.2796	0.2757	0.2252	0.2796	0	0.2617	0.2794	0.2796
specimen45	0.2596	0.2434	0.2515	0.2495	0.2515	0.2434	0.2434	0.2434	0.2434	0.2495	0.2495	0.2677	0.2515	0.2515	0.2495	0.2454	0.2454	0.2515	0.2495	0.2414	0.2515	0.2424	0.286	0.2424	0.2575	0.2485	0.2895	0.2677	0.2617	0.2677	0.2744	0.2961	0.2596	0.2698	0.2677	0.286	0.2698	0.2901	0.2617		0.2312	0.2556	0.2434	0.2515	0.2901	0.2495	0.2617	0	0.2312	0.2556
specimen46	0.2571	0.251	0.2389	0.2348	0.2348	0.251	0.251	0.251	0.251	0.2368	0.2368	0.2915	0.2368	0.2368	0.2368	0.2348	0.2348	0.2389	0.2368	0.249	0.2368	0.2576	0.2692	0.2576	0.2645	0.2276	0.2664	0.2854	0.2556	0.2389	0.2718	0.2526	0.2571	0.2692	0.2915	0.2692	0.2692	0.2941	0.2794	0.2312		0.2368	0.251	0.2389	0.2941	0.2348	0.2794	0.2312	0	0.2368
specimen47	0.2561	0.0509	0.02627	0.0197	0.02791	0.0509	0.0509	0.0509	0.0509	0.02627	0.02463	0.2486	0.02791	0.02627	0.02299	0.02299	0.02463	0.02791	0.02627	0.04762	0.02627	0.2392	0.2393	0.2392	0.2715	0.2364	0.2514	0.2785	0.2556	0.2262	0.2397	0.2381	0.2561	0.2617	0.2486	0.2393	0.2617	0.2718	0.2796	0.2556	0.2368		0.0509	0.02627	0.2718	0.0197	0.2796	0.2556	0.2368	0
specimen48	0.2617	0	0.04433	0.04433	0.04926	0	0	0.003284	0	0.04433	0.04598	0.2579	0.04926	0.04762	0.04433	0.04762	0.04598	0.04598	0.04433	0.009852	0.04433	0.2328	0.2411	0.2328	0.2622	0.2308	0.2552	0.2804	0.2556	0.2374	0.236	0.2402	0.2617	0.271	0.2579	0.2411	0.271	0.2637	0.2796	0.2434	0.251	0.0509		0.04433	0.2637	0.04433	0.2796	0.2434	0.251	0.0509
specimen49	0.2467	0.04433	0	0.009709	0.01478	0.04433	0.04433	0.04433	0.04433	0.003284	0.01133	0.2467	0.01456	0.01294	0.003236	0.009709	0.01133	0.004854	0.003236	0.04693	0.006472	0.2435	0.2449	0.2435	0.2529	0.2251	0.2552	0.2748	0.2454	0.2243	0.2397	0.234	0.2467	0.2579	0.2467	0.2449	0.2579	0.2718	0.2757	0.2515	0.2389	0.02627	0.04433		0.2718	0.009709	0.2757	0.2515	0.2389	0.02627
specimen5	0.2312	0.2637	0.2718	0.2677	0.2657	0.2637	0.2637	0.2637	0.2637	0.2738	0.2698	0.2475	0.2698	0.2698	0.2698	0.2677	0.2698	0.2759	0.2738	0.2677	0.2718	0.2576	0.2231	0.2576	0.232	0.2322	0.2259	0.2677	0.2596	0.2637	0.2398	0.2112	0.2312	0.2414	0.2475	0.2231	0.2414	0	0.2252	0.2901	0.2941	0.2718	0.2637	0.2718		0.2677	0.2252	0.2901	0.2941	0.2718
specimen50	0.2523	0.04433	0.009709	0	0.01149	0.04433	0.04433	0.04433	0.04433	0.009852	0.004854	0.2523	0.01133	0.009709	0.006472	0.006472	0.004854	0.01133	0.009709	0.04369	0.009709	0.2392	0.2411	0.2392	0.2599	0.227	0.2552	0.271	0.2475	0.2262	0.2378	0.2319	0.2523	0.2542	0.2523	0.2411	0.2542	0.2677	0.2796	0.2495	0.2348	0.0197	0.04433	0.009709	0.2677		0.2796	0.2495	0.2348	0.0197
specimen6	0.2155	0.2796	0.2757	0.2796	0.2796	0.2796	0.2796	0.2796	0.2796	0.2738	0.2777	0.2427	0.2816	0.2796	0.2757	0.2757	0.2757	0.2757	0.2738	0.2796	0.2777	0.2446	0.2214	0.2446	0.2343	0.2203	0.2475	0.2466	0.2515	0.2369	0.251	0.234	0.2155	0.2117	0.2427	0.2214	0.2117	0.2252	0	0.2617	0.2794	0.2796	0.2796	0.2757	0.2252	0.2796		0.2617	0.2794	0.2796
specimen7	0.2596	0.2434	0.2515	0.2495	0.2515	0.2434	0.2434	0.2434	0.2434	0.2495	0.2495	0.2677	0.2515	0.2515	0.2495	0.2454	0.2454	0.2515	0.2495	0.2414	0.2515	0.2424	0.286	0.2424	0.2575	0.2485	0.2895	0.2677	0.2617	0.2677	0.2744	0.2961	0.2596	0.2698	0.2677	0.286	0.2698	0.2901	0.2617	0	0.2312	0.2556	0.2434	0.2515	0.2901	0.2495	0.2617		0.2312	0.2556
specimen8	0.2571	0.251	0.2389	0.2348	0.2348	0.251	0.251	0.251	0.251	0.2368	0.2368	0.2915	0.2368	0.2368	0.2368	0.2348	0.2348	0.2389	0.2368	0.249	0.2368	0.2576	0.2692	0.2576	0.2645	0.2276	0.2664	0.2854	0.2556	0.2389	0.2718	0.2526	0.2571	0.2692	0.2915	0.2692	0.2692	0.2941	0.2794	0.2312	0	0.2368	0.251	0.2389	0.2941	0.2348	0.2794	0.2312		0.2368
specimen9	0.2561	0.0509	0.02627	0.0197	0.02791	0.0509	0.0509	0.0509	0.0509	0.02627	0.02463	0.2486	0.02791	0.02627	0.02299	0.02299	0.02463	0.02791	0.02627	0.04762	0.02627	0.2392	0.2393	0.2392	0.2715	0.2364	0.2514	0.2785	0.2556	0.2262	0.2397	0.2381	0.2561	0.2617	0.2486	0.2393	0.2617	0.2718	0.2796	0.2556	0.2368	0	0.0509	0.02627	0.2718	0.0197	0.2796	0.2556	0.2368	
